TotalTxPktCnt,TotalRxPktCnt,TotalRxMissingPktCnt,TotalRxPktWithBadHMAC
0,68108,147,0
0,157570,634,0
0,245078,765,0
0,333582,3113,0
0,413222,6056,0
0,499697,10608,0
0,585774,14314,0
0,665979,17413,0
0,752415,20002,0
0,839643,23409,0
0,927570,25933,0
0,1009337,26034,0
0,1097164,26182,0
0,1186485,26327,0
0,1275367,26594,0
0,1357706,26703,0
0,1444842,26810,0
0,1535142,26992,0
0,1624829,27072,0
0,1707187,27170,0
0,1795836,27268,0
0,1883904,27402,0
0,1973249,27518,0
0,2055063,27613,0
0,2144595,27721,0
0,2232223,27812,0
0,2321895,27989,0
0,2410680,28145,0
0,2498345,28275,0
0,2587208,28396,0
0,2676074,28508,0
0,2764000,29767,0
0,2845467,30103,0
0,2934355,30207,0
0,3024260,30349,0
0,3113024,30824,0
0,3194746,30924,0
0,3282321,31039,0
0,3372369,31129,0
0,3461982,31201,0
0,3543301,31317,0
0,3630870,31443,0
0,3720452,31559,0
0,3809412,31680,0
0,3892151,31780,0
0,3982574,31870,0
0,4072425,32040,0
0,4163696,32189,0
0,4254288,32286,0
0,4344048,32377,0
0,4435453,32464,0
0,4526845,32587,0
0,4616194,32722,0
0,4699772,32801,0
0,4789986,33990,0
0,4881247,34129,0
0,4970859,34300,0
0,5054408,34486,0
0,5144998,34669,0
0,5236228,34829,0
0,5326529,35020,0
0,5415963,35164,0
0,5498089,35330,0
0,5587287,35774,0
0,5676308,36912,0
0,5763545,37468,0
0,5845516,37730,0
0,5933851,38119,0
0,6023274,38342,0
0,6110880,38502,0
0,6193327,38732,0
0,6281337,38847,0
