TotalTxPktCnt,TotalRxPktCnt,TotalRxMissingPktCnt,TotalRxPktWithBadHMAC
0,76023,208,0
0,159465,435,0
0,248797,684,0
0,337592,2967,0
0,429069,3308,0
0,511763,3720,0
0,601170,4318,0
0,690828,4658,0
0,781507,4838,0
0,864627,4990,0
0,955750,5110,0
0,1044985,5538,0
0,1135585,5905,0
0,1226405,6233,0
0,1309563,6468,0
0,1398954,6781,0
0,1488894,7126,0
0,1580022,7349,0
0,1670604,7470,0
0,1760203,7620,0
0,1843289,7737,0
0,1934217,7882,0
0,2025009,8057,0
0,2114063,8226,0
0,2204686,8423,0
0,2288120,8587,0
0,2378966,8709,0
0,2468596,8928,0
0,2558647,9137,0
0,2649365,9429,0
0,2739635,9658,0
0,2823338,9967,0
0,2912631,10198,0
0,3003340,10360,0
0,3094098,10615,0
0,3183019,10788,0
0,3266156,11003,0
0,3356222,11287,0
0,3447295,11658,0
0,3537095,11847,0
0,3626934,12287,0
0,3717881,12559,0
0,3801057,13056,0
0,3891907,13326,0
0,3980348,13785,0
0,4071962,14006,0
0,4162809,14256,0
0,4251897,14393,0
0,4335309,14753,0
0,4425159,15182,0
0,4515588,15601,0
0,4605722,15863,0
0,4695488,16556,0
0,4778522,16918,0
0,4869417,17103,0
0,4960598,17274,0
0,5049390,17446,0
0,5139979,17676,0
0,5230613,17924,0
0,5314212,18062,0
0,5403628,18417,0
0,5493134,18760,0
0,5584084,18922,0
0,5674423,19220,0
0,5757954,19396,0
0,5847476,19499,0
0,5939006,19632,0
0,6030117,19716,0
0,6113363,19827,0
0,6202549,19947,0
0,6293366,20039,0
0,6384407,20181,0
0,6473913,20546,0
0,6557909,20729,0
0,6647631,20985,0
0,6738643,21181,0
0,6828923,21359,0
0,6912381,21722,0
0,7001738,21984,0
0,7093136,22229,0
0,7184645,22467,0
0,7267750,22642,0
0,7356777,22795,0
0,7447758,22921,0
0,7539079,23012,0
0,7628627,23263,0
0,7712292,23456,0
0,7802701,23612,0
0,7893550,23843,0
0,7984333,24164,0
0,8067649,24490,0
0,8157156,24800,0
0,8248109,25011,0
0,8339147,25208,0
0,8422957,25370,0
0,8511928,25664,0
0,8602594,25916,0
0,8693412,26320,0
0,8776861,26462,0
0,8866557,26604,0
0,8956937,26707,0
0,9046271,28961,0
0,9136387,30027,0
0,9219562,31226,0
0,9307220,33660,0
0,9397015,35472,0
0,9486066,38493,0
0,9575517,38873,0
0,9666531,39057,0
0,9757218,39499,0
0,9840335,40134,0
0,9929658,40807,0
0,69073,943,0
0,152243,1568,0
0,243345,2299,0
0,333781,2900,0
0,423300,3497,0
