TotalTxPktCnt,TotalRxPktCnt,TotalRxMissingPktCnt,TotalRxPktWithBadHMAC
0,70605,2103,0
0,162424,2689,0
0,250253,5024,0
0,333777,6129,0
0,422389,8853,0
0,511654,11202,0
0,598710,15042,0
0,682380,15179,0
0,773108,15378,0
0,863836,16074,0
0,954352,16669,0
0,1037802,16862,0
0,1127037,17437,0
0,1214636,20842,0
0,1305500,21012,0
0,1389629,21107,0
0,1479180,21203,0
0,1569794,21379,0
0,1661157,21513,0
0,1751126,21622,0
0,1834696,21761,0
0,1924969,21893,0
0,2016263,22027,0
0,2106982,22158,0
0,2190730,22278,0
0,2279331,22440,0
0,2370194,22578,0
0,2461217,22802,0
0,2544380,22915,0
0,2634623,23118,0
0,2725358,23228,0
0,2814678,25079,0
0,2904740,25321,0
0,2987166,25494,0
0,3074532,25649,0
0,3164007,25817,0
0,3254041,25965,0
0,3341900,26106,0
0,3423664,26278,0
0,3512618,26404,0
0,3601599,26529,0
0,3689013,26693,0
0,3777035,28076,0
0,3858092,29869,0
0,3945360,31638,0
0,4033187,33344,0
0,4113217,36453,0
0,4201770,36628,0
0,4289540,38809,0
0,4379543,39036,0
0,4467369,39776,0
0,4549755,39969,0
0,4639202,40898,0
0,4728609,41082,0
0,4815996,41234,0
0,4904885,41391,0
0,4987187,41545,0
0,5076684,41713,0
0,5165645,41860,0
0,5252890,42028,0
0,5342391,42213,0
0,5432701,42357,0
0,5519572,42516,0
0,5609441,42718,0
0,5698757,43481,0
0,5785399,43792,0
0,5873809,43981,0
0,5963272,44079,0
0,6051863,44192,0
0,6139456,44317,0
0,6230094,44439,0
0,6311689,44521,0
0,6400552,44619,0
0,6488043,44712,0
0,6577956,44837,0
0,6660080,44953,0
0,6749595,45067,0
0,6837924,45251,0
0,6926950,45352,0
0,7009244,45456,0
0,7097239,47023,0
0,7185386,47195,0
0,7273426,47360,0
0,7363019,47554,0
0,7445889,47731,0
0,7535336,47909,0
0,7622748,48105,0
0,7711463,48311,0
0,7800285,48611,0
0,7882067,48751,0
0,7970350,48897,0
0,8059435,49060,0
0,8147256,50675,0
0,8228199,51855,0
0,8317575,52405,0
0,8399524,53060,0
0,8488205,53319,0
0,8577207,54399,0
