TotalTxPktCnt,TotalRxPktCnt,TotalRxMissingPktCnt,TotalRxPktWithBadHMAC
0,83328,166,0
0,174430,525,0
0,263857,778,0
0,353872,1380,0
0,444397,1837,0
0,535229,1959,0
0,624975,2077,0
0,716013,2226,0
0,799168,2315,0
0,890020,2389,0
0,979240,2502,0
0,1070133,2580,0
0,1161893,2707,0
0,1251160,2841,0
0,1334773,2933,0
0,1424821,3057,0
0,1515817,3189,0
0,1606411,3318,0
0,1696008,3451,0
0,1780090,3522,0
0,1871053,3629,0
0,1961952,3764,0
0,2051003,3874,0
0,2141711,4008,0
0,2233109,4102,0
0,2316756,4222,0
0,2407366,4389,0
0,2497535,4478,0
0,2588474,4602,0
0,2679268,4744,0
0,2768449,4818,0
0,2851760,4923,0
0,2942921,5123,0
0,3034679,5241,0
0,3123760,5357,0
0,3214191,5526,0
0,3297657,5615,0
0,3388336,5700,0
0,3478598,5845,0
0,3568829,5939,0
0,3660245,6061,0
0,3750984,6261,0
0,3834237,6355,0
0,3923210,6485,0
0,4014237,6661,0
0,4105191,6836,0
0,4195264,6952,0
0,4285829,7179,0
0,4369234,7263,0
0,4460522,7415,0
0,4550863,7617,0
0,4640117,7811,0
0,4731341,7915,0
0,4815098,8011,0
0,4906416,8109,0
0,4995474,8169,0
0,5086127,8370,0
0,5177140,8585,0
0,5259853,9450,0
0,5349093,10176,0
0,5439823,10313,0
0,5531108,10480,0
0,5621473,11120,0
0,5710883,11373,0
0,5794171,11558,0
0,5884890,12017,0
0,5976041,12154,0
0,6065981,12336,0
0,6156381,12691,0
0,6247349,13076,0
