TotalTxPktCnt,TotalRxPktCnt,TotalRxMissingPktCnt,TotalRxPktWithBadHMAC
0,83258,327,0
0,172260,950,0
0,263045,1174,0
0,354781,1585,0
0,437712,1883,0
0,528013,2086,0
0,617959,2163,0
0,708756,2294,0
0,799960,2369,0
0,888997,2484,0
0,972790,2576,0
0,1063490,2673,0
0,1154527,2807,0
0,1244660,2975,0
0,1335495,3175,0
0,1426446,3455,0
0,1510329,3637,0
0,1601314,3824,0
0,1690519,4026,0
0,1781812,4149,0
0,1872492,4399,0
0,1961739,4747,0
0,2045001,5058,0
0,2135964,5331,0
0,2227248,5441,0
0,2317050,5559,0
0,2406901,5721,0
0,2490476,5826,0
0,2581597,6022,0
0,2672575,6189,0
0,2762460,6302,0
0,2853785,6428,0
0,2944830,6581,0
0,3028583,6655,0
0,3118268,6781,0
0,3209076,6901,0
0,3300224,7011,0
0,3391065,7109,0
0,3480995,7266,0
0,3564373,7383,0
0,3655408,7502,0
0,3746606,7587,0
0,3835816,7723,0
0,3926692,7828,0
0,4010847,8026,0
0,4102072,8272,0
0,4192200,8401,0
0,4282492,8566,0
0,4373186,8779,0
0,4463769,8909,0
0,4547386,9060,0
0,4636980,9303,0
0,4727890,9474,0
0,4818764,9748,0
0,4907955,9898,0
0,4998492,10011,0
0,5081456,10196,0
0,5172525,10420,0
0,5263015,10610,0
0,5352875,10762,0
0,5444004,10974,0
0,5534851,11488,0
0,5618443,11654,0
0,5707508,11857,0
0,5798381,12082,0
0,5889876,12449,0
